baranggay_id,year,date,quarter,water,trees,crops,grass,shrubs-and-scrubs,flooded vegetation,built-up areas,bare ground,snow-and-ice
1,2016,1/1/2016,1,14.48,0.03,3.18,34.09,24.81,2.7,9.5,0.94,10.28
1,2016,4/1/2016,2,2.9,5.13,0.06,34.04,2.28,13.61,37.99,3.67,0.32
1,2016,7/1/2016,3,1.31,7.93,31.65,2.1,0.72,18.82,5.81,16.11,15.55
1,2016,10/1/2016,4,1.93,34.44,0.32,6.81,4.31,6.98,15.16,9.41,20.65
1,2017,1/1/2017,1,14.52,1.8,26.2,3.03,11.47,1.75,14.48,9.33,17.41
1,2017,4/1/2017,2,22.75,1.96,6.88,5.76,10.97,8.99,10.91,5.2,26.58
1,2017,7/1/2017,3,2.89,5.2,5.15,40.28,0.71,0.83,34.68,5.52,4.75
1,2017,10/1/2017,4,2.28,13.32,12.43,3.86,9.17,13.01,28.42,14.92,2.6
1,2018,1/1/2018,1,4.35,13.75,27.04,1.71,25.64,1.08,18.89,3.39,4.14
1,2018,4/1/2018,2,12.53,9.71,3.71,42.62,6.84,11.38,4.84,0.69,7.69
1,2018,7/1/2018,3,3.72,2.7,7.37,2.76,11.43,30.4,10.38,19.66,11.57
1,2018,10/1/2018,4,28.56,10.28,3.21,3.24,25.25,3.2,10.02,9.43,6.81
1,2019,1/1/2019,1,0.25,20.51,8.03,0.33,9.71,40.2,1.85,14.04,5.07
1,2019,4/1/2019,2,8.07,12.46,26.35,11.31,1.39,12.21,15.57,10.28,2.37
1,2019,7/1/2019,3,23.83,8.92,12.43,21.86,2.81,14.48,8.53,0.09,7.05
1,2019,10/1/2019,4,12.49,5.8,7.43,16.52,13.04,2.18,3.98,29.54,9.02
1,2020,1/1/2020,1,4.48,20.58,19.45,6.55,0.47,30.9,5.98,9.45,2.14
1,2020,4/1/2020,2,12.49,24.84,4.65,19.8,18.36,12.61,4.62,0.77,1.86
1,2020,7/1/2020,3,5.89,24.97,1.89,14.45,10.86,0.0,25.37,8.24,8.32
1,2020,10/1/2020,4,6.59,16.67,0.22,3.08,2.19,1.71,38.6,3.64,27.3
1,2021,1/1/2021,1,2.95,16.65,5.68,19.06,8.85,18.13,28.37,0.29,0.02
1,2021,4/1/2021,2,14.64,0.35,3.29,1.83,24.7,2.53,13.85,30.09,8.72
1,2021,7/1/2021,3,2.36,41.13,7.16,21.25,10.84,1.96,8.35,1.12,5.83
1,2021,10/1/2021,4,23.56,5.27,19.3,8.25,6.07,9.23,5.83,17.22,5.27
1,2022,1/1/2022,1,8.48,8.2,16.26,0.91,7.24,2.01,30.88,8.68,17.33
1,2022,4/1/2022,2,5.46,3.52,27.15,12.18,3.1,0.06,13.46,14.75,20.33
1,2022,7/1/2022,3,3.78,10.16,15.2,18.05,29.78,4.27,1.15,9.53,8.09
1,2022,10/1/2022,4,40.01,0.36,10.35,23.53,1.5,4.45,4.84,2.58,12.38
1,2023,1/1/2023,1,1.19,18.69,19.26,1.89,12.13,7.09,9.36,11.18,19.21
1,2023,4/1/2023,2,12.69,12.72,1.47,11.24,4.77,3.86,14.45,15.04,23.75
1,2023,7/1/2023,3,1.13,5.52,1.02,2.5,3.71,11.03,9.59,56.3,9.21
1,2023,10/1/2023,4,15.54,16.76,8.08,16.75,0.46,23.25,12.5,4.19,2.47
1,2024,1/1/2024,1,0.65,2.0,23.21,6.14,25.3,13.3,0.86,6.12,22.43
1,2024,4/1/2024,2,5.6,6.65,24.55,5.46,11.3,17.75,15.81,12.26,0.61
1,2024,7/1/2024,3,2.38,12.28,8.89,4.86,12.86,33.02,7.43,16.96,1.32
1,2024,10/1/2024,4,0.64,29.33,5.8,15.59,8.21,14.34,15.98,6.26,3.85
1,2025,1/1/2025,1,3.68,21.03,9.43,7.82,0.34,1.17,4.3,12.79,39.45
1,2025,4/1/2025,2,1.84,3.57,13.49,14.82,28.18,8.8,5.01,5.74,18.54
1,2025,7/1/2025,3,1.76,47.07,10.73,2.27,4.49,0.86,2.73,9.12,20.98
1,2025,10/1/2025,4,1.87,11.69,3.44,3.12,6.43,13.06,0.25,1.67,58.48
2,2016,1/1/2016,1,7.87,23.99,0.29,30.9,2.73,3.33,20.79,8.71,1.39
2,2016,4/1/2016,2,14.29,27.46,13.94,2.34,3.92,18.15,5.09,4.8,10.01
