max_lag_days,mean_lag_days,min_lag_days,quarter,year
,,,1,2016
20.89104539,20.89104539,20.89104539,2,2016
72.89117058,72.89117058,72.89117058,3,2016
,,,4,2016
,,,1,2017
8.898840394,8.898840394,8.898840394,2,2017
12.89284745,12.89284745,12.89284745,3,2017
,,,4,2017
,,,1,2018
,,,2,2018
0.8941018519,0.8941018519,0.8941018519,3,2018
,,,4,2018
,,,1,2019
,,,2,2019
2.886745775,2.886745775,2.886745775,3,2019
,,,4,2019
,,,1,2020
,,,2,2020
,,,3,2020
,,,4,2020
,,,1,2021
14.89362892,14.89362892,14.89362892,2,2021
1.893592049,1.893592049,1.893592049,3,2021
,,,4,2021
,,,1,2022
4.893494016,4.893494016,4.893494016,2,2022
16.89352565,16.89352565,16.89352565,3,2022
,,,4,2022
,,,1,2023
4.893587164,4.893587164,4.893587164,2,2023
1.893613657,1.893613657,1.893613657,3,2023
,,,4,2023
,,,1,2024
,,,2,2024
4.88672735,4.88672735,4.88672735,3,2024
,,,4,2024
,,,1,2025
,,,2,2025
,,,3,2025
,,,4,2025
